name,categories,address,city,postalCode,state,country,latitude,longitude,count
Sonic Drive-In,"American Restaurants,Hot Dog Stands and Restaurants,Fast Food Restaurants,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",1703 S College Street,Auburn,36832,AL,US,32.57246,-85.49903,285
Firehouse Subs,"Carry-out food,Restaurant,Caterers,Delicatessens,American restaurants,Take Out Restaurants,Fast Food Restaurants,Sandwiches,Restaurants,Sandwich Shops",935 Us Highway 72 E Ste A,Athens,35611,AL,US,34.7881,-86.96264000000001,38
Subway,"Restaurant,Fast Food Restaurants,Take Out Restaurants,Restaurants,Sandwich Shops",100 US Highway 31 S Ste N,Athens,35611,AL,US,34.80086,-86.9526,1219
Domino's Pizza,"Pizza,Restaurant,Food Delivery,Take Out Restaurants,Fast Food Restaurants,Pizza Place,Restaurants",1720 Hamric Dr E Ste 1,Oxford,36203,AL,US,33.61477,-85.80492,270
Jack's,"Breakfast Brunch and Lunch Restaurants,American Restaurants,Burgers,Hot Dogs,Fast Food Restaurants,Breakfast Brunch and Lunch Restaurants,,Chicken Restaurants,Hamburgers and Hot Dogs,Family Friendly Restaurants,Restaurants",609 Snow Street,Oxford,36203,AL,US,33.61567,-85.82607,57
Jimmy John's,"Carry-out food,Restaurant delivery service,Caterers,Delicatessens,Fast Food Restaurants,Home delivery beer and beverages,Sandwiches,Catering,Restaurants,Sandwich Shops",107 Arnold St NW,Cullman,35055,AL,US,34.17945,-86.84606,154
Jack's,"Breakfast Brunch and Lunch Restaurants,Carry-out food,Hot dog restaurants,Food and Beverage,American restaurants,Hamburger restaurants,Fast Food Restaurants,Breakfast Brunch and Lunch Restaurants,,Chicken Restaurants,Restaurants,Hamburgers & Hot Dogs,Burger Joint,Family style restaurants,Breakfast Brunch & Lunch Restaurants,,Hamburgers and Hot Dogs",1641 Main Ave SW,Cullman,35055,AL,US,34.15977,-86.84812,57
Subway,"Delis And Delicatessens,Carry-out food,Restaurant,Delicatessens,wich Place,American restaurants,Take Out Restaurants,Fast Food Restaurants,Sandwiches,Sandwich Place,Restaurants,Sandwich Shops",1705 Cherokee Ave SW,Cullman,35055,AL,US,34.157579999999996,-86.83748,1219
Panda Express,"Asian Restaurants,Carry-out food,Chinese Restaurants,American restaurants,Take Out Restaurants,Fast Food Restaurants,Restaurants,Chinese restaurants",5505 Al Highway 157,Cullman,35058,AL,US,34.20643,-86.86648000000001,108
Subway,"Carry-out food,Delicatessens,Fast Food Restaurant,Take Out Restaurants,Fast Food Restaurants,Sandwiches,Sandwich Place,Restaurants,Sandwich Shops",1912 Al Highway 157,Cullman,35058,AL,US,34.19863,-86.80400999999999,1219
